Posisi,Perusahaan,Lokasi,URL,Deskripsi
Data Entry,PT Sriwijaya Energi Bersih,Bandung,https://id.jobstreet.com/id/job/82132415?type=standard&ref=search-standalone,Mempersiapkan dan menyortir dokumen sebelum datanya dimasukkan ke dalam komputer.Memasukkan data ke dalamdatabasemilik perusahaan.Memeriksa dan memastikan keakuratan data yang sudah dimasukkan ke dalamdatabase.Menyelesaikan perbedaan informasi dan data yang tidak lengkap.Membuat data cadangan yang menjadi bagian dari rencana kontingensi.Menanggapi permintaan informasi dari anggota yang berwenang.Menguji sistemdatabasebaru dan pembaruan dari perangkat lunak.
Data Analyst Marketing Supervisor,PT Primagraha Keramindo,Jakarta Barat,https://id.jobstreet.com/id/job/82132030?type=standard&ref=search-standalone,"M;Pendidikan minimal S1;Memiliki kemampuan analisa yang baik;Terbiasa melakukan presentasi;Menguasai ms. office dan visualisasi tools;Jujur, loyal, aktif dan dapat bekerja dalam tekanan;Penempatan di Kembangan, Jakarta Barat;Dapat bergabung segera;"
SAP ABAP Staff,PT Star Cosmos,Jakarta Barat,https://id.jobstreet.com/id/job/82131223?type=standard&ref=search-standalone,"Kualifikasi:Pendidikan minimal S1 jurusan Teknik Infomatika/Sistem InformasiMemiliki pengalaman 1-2 tahun sebagai ABAPERMemiliki pengalaman membuat Report ALV, Interface, RFC, BDC, Enhancement, Smartforms, dan User Exit di SAPMemiliki pengalaman membuat APIMemiliki pemahaman tentang SAP ABAP, analisis sistem, pemecahan masalah, kolaborasi teamMemiliki keterampilan analisis dan komunikasi yang kuatBersedia bekerja di Hari Sabtu (setengah hari)Penempatan Jakarta BaratDeskripsi pekerjaan:Merancang dan mengimplementasikan solusi SAP ABAP untuk mencapai tujuan bisnisMenangani analisis masalah terkait sistem SAP dan mengidentifikasi solusi yang sesuaiBekerja sama dengan anggota tim lainnya, termasuk tim teknis dan fungsional untuk mengatasi masalah yang muncul dan memastikan kinerja sistem optimal"
Data Analyst,PT Talentvis Consulting Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/82130481?type=standard&ref=search-standalone,"Offer Tier 1 support for data products. Conduct initial investigations on issues and escalate when resolution is not feasible.Understand business requirements and collaborate with the team and other subject matter experts to deliver, maintain, or enhance data products and services. Create routine data reports, and supply data for requests as required.Criteria :• Bachelor's or Master's degree in Analytics, Statistics, Computing, or Engineering related fields.• 1-3 years of experience or multiple internships in Analytics, Business Intelligence, or Data Science roles•Strong foundation in data query/manipulation using SQL and data visualization using tools like PowerBI.• Results and detail-oriented, with strong intuitions on how to solve problems creatively and quickly, and an effective communicator to both technical and business audiences"
Data & Analytics Lead,Proxima Consulting Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/82128723?type=standard&ref=search-standalone,"Role Summary:We are looking for an experienced professional to serve as a critical team leader for ananalytics project covering all operations of a multinational organization. This role combines expertise in accounting, auditing, and data analytics with strong operational management skills.The ideal candidate will hold aCPA qualificationand have substantial experience in auditing, alongside a strong interest or experience in leveraging data for decision-making. Experience or interest infinancial modelingand exposure toM&Aare highly desirable.This is an exciting opportunity to work on a transformative analytics initiative within a multinational organization, shaping how data drives business strategy across the region.Qualifications:Certified Public Accountant (CPA) qualification (preferably CPA Indonesia).Proven audit experience, ideally within a Big 4 accounting firm or a comparable organization.Knowledge of data visualization tools (Power BI, Tableau) or experience with database systems.IT skills in SQL, Python, or other relevant technologies.Financial modeling experience or interest in applying financial modeling to analytics.Exposure to mergers and acquisitions (M&A) processes or environments.Competencies:Strong analytical and problem-solving abilities.Excellent interpersonal and communication skills for stakeholder collaboration.Ability to manage cross-functional teams and complex projects.High attention to detail, particularly in ensuring data accuracy and compliance.What They Offer:Leadership role in a transformative analytics project covering all operations of the group.Opportunity to work in a dynamic, multinational environment.Professional development and career advancement.Competitive compensation package."
Personal Data Protection Manager,PT Mandiri Utama Finance,Jakarta Raya,https://id.jobstreet.com/id/job/82128214?type=standard&ref=search-standalone,"Deskripsi Pekerjaan:Mengidentifikasi potensi risiko dan memberikan rekomendasi perbaikan untuk mencegah insiden kebocoran data;Melakukan pengkajian dan implementasi terhadap seluruh regulasi PDP;Menyusun program kerja dan strategi pelaksaan Program PDP;Melakukan monitoring kegiatan operasional Perusahaan telah dijalankan sesuai dengan kaidah dan prinsip PDP;Mengkoordinasi proses pelaporan pelaksanaan PDP baik ke pihak internal maupun eksternal;Menyusun kebijakan terkait pengelolaan kerjasama dengan pihak ketiga yang melakukan pemrosesan data pribadi;Bertanggung jawab atas pelaksanaan implementasi strategi pelindungan data pribadi melalui edukasi,awareness,trainingkepada pihak internal dan eksternal.Kualifikasi:Min. pendidikan S1 Hukum, Teknologi Informasi atau bidang terkaitMin. memiliki pengalaman 5 tahun mengelola data privasi atau kepatuhan hukum atau auditMemiliki sertifikasi bidang perlindungan data privasiMemiliki skillAttention to detail, analythical thinking, Decision making, Leadershipyang baik"
Head of Data Science,PT Michael Page Internasional Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/82125388?type=standard&ref=search-standalone,"The Head of Data Science role is pivotal in leveraging data and AI to optimise business outcomes and create new opportunities within the Travel industry. This role will lead the Data Science department, developing strategies and implementing Data Science solutions to drive growth and operational efficiency.Client DetailsOur client is a prominent player in the Travel industry with diverse product and business across Indonesia. They have a strong presence in the country, renowned for their commitment to technology and innovation in delivering exceptional experiences for their customers.DescriptionAs a Head of Data Science, your main responsibilities will include:Developing and implementing AI solutions to improve business operations.Utilising data to identify new opportunities and drive business growth.Working closely with other departments to optimise data usage.Ensuring data governance and compliance with industry regulations.Driving a culture of innovation and continuous improvement within the team.Staying abreast with latest AI and data trendsProfileA successful candidate should have:A strong educational background in Data Science, AI, or a related field, i.e. Computer Science, Information System, Mathematics, or Statistics majorProven leadership experience in a Data Science roleProficiency in using AI and Data Science to drive business outcomes.Exceptional analytical skills and strategic thinking.Excellent communication skills to present complex data in an understandable manner.Job OfferAn innovative working environment.Opportunity to work with a diverse and dynamic team.This is a fantastic opportunity for someone looking to make a significant impact. If you believe you are the right person for this role, we strongly encourage you to apply.To apply online please click the 'Apply' button below. For a confidential discussion about this role please contact Dyah Alya Gretiana on+62 21 2958 8817."
Agency Data Analyst,MSIG Life Insurance Indonesia Tbk,Jakarta Selatan,https://id.jobstreet.com/id/job/82125370?type=standard&ref=search-standalone,"Analyse the structure of a business, Identify problems within a business, including through using data modelling techniques.Formulate ways for businesses to improve based on research and analysis.Collect, organise and analyse data from various sources to track and report on agency performance metrics such as sales productivity.Develop and maintain dashboards, reports and other data visualization tools.Requirements:Bachelor's degree from Computer Science or Data Analytics.Minimum 3 years of experience in a data analysis or business intelligence role, preferably from Life insurance industryProficiency statistical analysis, and data visualisation tools such as SQL, Excel, Tableau or Power BIExcellent analytical and problem-solving skills."
Oracle Database Engineer,PT Graha Karya Informasi,Jakarta Barat,https://id.jobstreet.com/id/job/82122525?type=standard&ref=search-standalone,"We are seeking an experienced Oracle Database Engineer to join our growing IT team at PT Graha Karya Informasi. In this contract role, you will be responsible for the design, implementation, and maintenance of robust and highly performant Oracle database solutions to support the company's critical business applications. Based in Central Jakarta, this is an exciting opportunity to apply your technical expertise and make a direct impact on the success of our organisation.What you'll be doingDesign, develop, and optimise complex Oracle database architectures to meet the evolving needs of the businessImplement and manage Oracle database instances, ensuring high availability, security, and compliance with industry standardsPerform regular monitoring, tuning, and troubleshooting to maintain database performance and reliabilityCollaborate with cross-functional teams to understand business requirements and translate them into efficient database solutionsAutomate routine database maintenance tasks and implement proactive monitoring and alerting mechanismsProvide technical guidance and support to application developers and other IT team membersStay up-to-date with the latest Oracle database technologies and industry best practicesWhat we're looking for2+ yearsof proven experience as an Oracle Database Engineer or AdministratorIn-depth knowledge of Oracle database architecture, performance tuning, backup and recovery, and high availabilityProficient in SQL, PL/SQL, and Oracle database administration tools and scriptsHaving experience in security monitoring is a plusFamiliarity with cloud-based database services (e.g., Oracle Cloud Infrastructure)Strong problem-solving and analytical skills with the ability to troubleshoot complex issuesExperience working in a fast-paced, agile environment and collaborating with cross-functional teamsExcellent communication and documentation skills"
Quality Control Assistant,PT Jiva Agriculture Indonesia,Makassar,https://id.jobstreet.com/id/job/82129575?type=standard&ref=search-standalone,"Field Operations
 
 - 15 
 Open roles15 
 Open rolesField Operation
 
 - 2 
 Open roles2 
 Open rolesCategory Agriinput
 
 - 2 
 Open roles2 
 Open rolesAgronomy
 
 - 5 
 Open roles5 
 Open rolesPDG
 
 - 1 
 Open role1 
 Open roleData
 
 - 2 
 Open roles2 
 Open rolesWarehouse Input
 
 - 1 
 Open role1 
 Open roleOperations
 
 - 10 
 Open roles10 
 Open rolesSales Commodity
 
 - 4 
 Open roles4 
 Open rolesGrowth and Marketing
 
 - 2 
 Open roles2 
 Open rolesChili Commodity
 
 - 2 
 Open roles2 
 Open rolesFinance
 
 - 1 
 Open role1 
 Open roleAgricentral
 
 - 2 
 Open roles2 
 Open rolesData Analyst
 
 - 1 
 Open role1 
 Open roleLegal
 
 - 1 
 Open role1 
 Open roleCorn Plantation
 
 - 7 
 Open roles7 
 Open rolesFulfillment and Logistic
 
 - 2 
 Open roles2 
 Open rolesSales Agriinput
 
 - 12 
 Open roles12 
 Open rolesTelesales
 
 - 1 
 Open role1 
 Open role"
Senior Research Analyst / Research Manager,PT Korea Investment & Sekuritas Indonesia,Jakarta Utara,https://id.jobstreet.com/id/job/82121587?type=standard&ref=search-standalone,"Duties & Responsibilities:Preparedaily, weekly, and monthly reportson Macro economy,Equity and Fixed Income outlookResponsible for conducting in-depthresearch to be generated into reports or other productstailored for mainly retail investors, including IPO reportsSupport and providemarket update to sales and investors, throughvarious channelsPrepare data, report and presentation materials requested by management, both for internal and external useFundamental reportingValuation stock pickingWell known about derivatives from capital marketQualifications:At least BachelorDegree in Finance,economic, or a similar discipline3-4 years of working experience in the relatedfield of sell-side and buy-side researchHave a strongpassion and good understanding on financial analysisand capital marketLogical and analytical thinkerGood communication skillwith fluency in English, both verbal and writtenStrong team ethics and able to work in a fast-paced environment"
CRM Data Analyst,Siloam Hospitals Group (Tbk),Karawaci,https://id.jobstreet.com/id/job/82121390?type=standard&ref=search-standalone,"About the companySiloam Hospitals Group (SHG) is a leading private hospital network in Indonesia and has become the benchmark for quality healthcare services in the country. Siloam's medical team consists of 2,700 general practitioners and specialists, along with 10,000 nurses and other support staff, and they serve nearly 2 million patients every year.To meet the need for world-class medical services for all segments of the Indonesian population, Siloam's business strategy, based on economies of scale, allows each of its hospital units to operate at lower costs. Thus, the company's vision to provide internationally quality healthcare in Indonesia, underpinned by divine compassion, can serve as a platform for Siloam to respond to the dynamic social transformation in IndonesiaAbout the JobJob Description:Create & Analyzing Customer/Patient SegmentProcess Patient Segment to be used by Other User for ExecutionMake sure Data, Patient Database, & Segment availableCreate on time CRM Report, Analysis, & InsightCreate Template Report at BI ToolsTraining & socialization CRM Report to other HU & BUMake sure other HU (Hospital Unit) & BU (Business Unit) using CRM ReportSupport Development & Improvement of CRM Project & Blueprint RoadmapRequirement:Bachelor’s degree in Statistics, Mathematics, Computer Science, or related field.Proficiency in data tools (e.g., Excel, SQL, Python, R, Tableau).Strong analytical and problem-solving skills.Excellent communication and data visualization abilities.BI Tools Native User & Understand Coding/Data Engineer (Bonus)Willing to be placed inHead Office, KarawaciOur team will review your application and will be in touch if your application is shortlisted to the next stage.We wish you the best. Have a great day"
Bancassurance Consultant (Bima),MSIG Life Insurance Indonesia Tbk,Sumbawa,https://id.jobstreet.com/id/job/82077165?type=standard&ref=search-standalone,"Deskripsi Pekerjaan :Menjalin dan menjaga hubungan bisnis yang baik dengan nasabah bank rekanan dalam memberikan konsultasi perencanaan perlindungan serta tujuan finansial nasabahMenciptakan hubungan yang produktif, bersinergi, dan efektif dengan seluruh pihak bank rekanan terkaitMemastikan seluruh proses bisnis berjalan sesuai dengan prosedur standar perusahaanMemenuhi performa kerja yang sudah ditargetkan perusahaanKualifikasi:Usia minimal 23 tahunPendidikan minimal Diploma 3Memiliki pengalaman minimal 1-2 tahun sebagai sales marketing bancassurance atau di perbankanMemiliki motivasi kerja yang tinggiMemiliki orientasi pada target dan berambisi untuk memenuhi targetPenempatan: Bima"
Credit Data Analyst,PT. Pintar Inovasi Digital,Jakarta Selatan,https://id.jobstreet.com/id/job/82120530?type=standard&ref=search-standalone,"Qualifications:• Bachelor's degree or higher, major in mathematical statistics and other related majors;•Has at least 2 years of work experience in multi-finance, fintech and experience in data analysis.• Proficient in hive SQL, and using system languages such as python SAS R spark for data analysis and processing.• Master statistical methods and tools and be familiar with statistical model testing methods.• Have clear logical thinking, proactive, fast learning, strong communication and team skills.Job Descriptions：• Responsible for the daily business monitoring system, including all business processes/risk control strategies/monitoring of post-loan data performance indicators, and regularly reporting the business & risk control situation in the form of reports (Daily, Weekly, Monthly);• Collect various types of features in the maintenance & optimization business: including data collection, processing logic, usage scenarios, etc.; make daily monitoring reports feature, and regularly provide strategy/model specific data table suggestions based on data performance;• Assist in building the data environment, creating data tables, and continuously displaying the data needed by each team.• Periodically conduct data analysis and review on risk strategies/model effects/product profitability, and point out potential problems & risks based on the analysis results, and propose solutions"
CRM Manager,PT MITRA MANUNGGAL MAHARDIKA,Jakarta Utara,https://id.jobstreet.com/id/job/82120433?type=standard&ref=search-standalone,"Requirement :Minimum 4-5 years of experience in managing marketing or sales CRMExperience in managing CRM platform Salesforce Marketing CloudExperience in data dashboarding - Salesforce, HubSpot or Tableau.Strong Technical skills (MS Excel)Effective Communication (written and verbal) and Presentation SkillsJob Descriptions:Marketing and channel performance analytics, optimization strategies and customer behavior analysesLeading core insights from the data and suggesting marketing communication strategy that drives fundamental improvements of the business.Pursue data quality, collaborate with data acquisition agency, ensure data is optimized to drive understanding of key customer lifecycle stages and how we can drive engagement using data.Mine data and analytics at the customer level to gain a better understanding of their funnel and engagement behaviors, conduct customer analyses: behavior, segmentation, customer valueDeveloping statistically significant experimentation frameworks to allow us to improve the targeting of our marketing through segmentation and assessing incremental impact of campaigns.Proactively bringing new ideas to the table relating to business questions, analytics approaches, datasets and ways of working.Serve as a custodian of CRM database - Integrate, compile, analyze, data and make recommendations on trends utilizing CRM software.Deliver reports and dashboards on key metrics: customer base, funnel, conversion events, segmentation types, referring channels, marketing campaigns and specific attribute correlationsEffectively share insights and analyses with stakeholders to drive business decision. Partner with cross-functional stakeholders as per business requirement."
Support Staff - Data Analyst,PT Delonix Group Indonesia,Jakarta Utara,https://id.jobstreet.com/id/job/82118433?type=standard&ref=search-standalone,"Established in Jakarta in 2023, PT Delonix Group Indonesia is a subsidiary company of Delonix Group - China. Delonix Group is a global investment and tourism group, which its core business mainly focuses on offline consumer sectors such as hotels, restaurants, and airport lounges. The group's investment portfolio includes over 1,300 managed and contracted hotels, spread across major tourist and business centers worldwide, with a total of over 195,000 rooms.Job Descriptions :Collect, interpret, and analyze data related to investor prospects and property trends, utilizing statistical techniques and tools to derive meaningful insights.Conduct in-depth market research to identify potential investors and analyze competitor activities.Prepare comprehensive reports and presentations based on findings develop visualizations, charts, and graphs to present data insights effectively, and communicate findings to stakeholders clearly and concisely.Assist in developing forecasting models and scenario analyses to support BD strategies, and evaluate project feasibility and investment opportunities based on data analysis.Maintain and update databases with accurate and relevant information related to investor contacts, property portfolios, and market trends.Work closely with the Business Development team to provide data-driven recommendations and support decision-making processes.Collaborate with other departments as needed to align data analysis efforts.Stay updated with industry trends, data analysis techniques, and best practices. Recommend improvements to data collection and analysis processes.Requirements :Bachelor’s degree in Data Science, Statistics, Economics, Business Administration, or related field.Proven experience as a data analyst or similar role, preferably in business development or real estate.Proficiency in Microsoft Office Suite (Word, Excel, PowerPoint), Tableau, Power BI, SQL, Python, and Project management software.Excellent analytical and problem-solving skills, with the ability to translate complex data into actionable insights.Solid understanding of financial modeling, market research methodologies, and database management.Ability to work independently and collaboratively in a team-oriented environment.Effective communication skills, including the ability to present findings clearly and concisely.Fast learner, with attention to detail and accuracy in data analysis and reporting.Proactive mindset with a commitment to continuous learning and professional development.Ability to manage multiple priorities and deadlines effectively.Experience in real estate or investment analysis is a plus."
